dish,val_mae,forecast_sum,forecast_mean,forecast_start,forecast_end
Soft Drink (Large),,0.21753153052331198,0.015537966465950856,2025-07-30,2025-08-12
Chicken Nuggets (6pc),,0.15411214874021525,0.01100801062430109,2025-08-08,2025-08-21
Milkshake,,0.14395095012953307,0.010282210723538077,2025-08-10,2025-08-23
Soft Drink (Small),,0.12063659963163373,0.008616899973688124,2025-08-07,2025-08-20
Pancake Platter,,0.11608115360478383,0.008291510971770274,2025-07-15,2025-07-28
Brownie,,0.09989456915417415,0.007135326368155296,2025-08-08,2025-08-21
Soft Drink (Medium),,0.09486619920355803,0.006776157085968431,2025-08-08,2025-08-21
Side Salad,,0.09353222832106362,0.006680873451504544,2025-08-01,2025-08-14
Double Cheeseburger Combo,,0.09232374141001735,0.006594552957858382,2025-08-09,2025-08-22
Double Cheeseburger,,0.0894965021954055,0.006392607299671822,2025-08-09,2025-08-22
Chicken Nuggets (10pc),,0.08625320737168249,0.006160943383691607,2025-08-08,2025-08-21
Bottled Water,,0.0850323699112446,0.006073740707946043,2025-08-07,2025-08-20
Ice Cream Cone,,0.0812450961413527,0.005803221152953764,2025-08-10,2025-08-23
Breakfast Burrito,,0.07957760162848035,0.005684114402034311,2025-08-06,2025-08-19
Egg Muffin,,0.07836431159232139,0.005597450828022957,2025-08-09,2025-08-22
Onion Rings,,0.07574004407157069,0.005410003147969335,2025-08-09,2025-08-22
Cheeseburger Combo,,0.07277932671909129,0.00519852333707795,2025-08-10,2025-08-23
Iced Tea,,0.06724066214238056,0.004802904438741469,2025-08-08,2025-08-21
Latte,,0.05774451549246383,0.004124608249461702,2025-07-26,2025-08-08
Spicy Chicken Sandwich,,0.05508031174047638,0.003934307981462598,2025-08-04,2025-08-17
Sausage Biscuit,,0.05444616702978079,0.003889011930698628,2025-08-02,2025-08-15
Veggie Burger,,0.053468885230873966,0.003819206087919569,2025-08-09,2025-08-22
Chicken Sandwich,,0.05301772242892705,0.0037869801734947894,2025-08-10,2025-08-23
French Fries,,0.05300059402795667,0.003785756716282619,2025-08-09,2025-08-22
Cheeseburger,,0.05086678519960662,0.0036333417999719017,2025-08-09,2025-08-22
Spicy Chicken Combo,,0.04736036806237729,0.0033828834330269495,2025-08-10,2025-08-23
Hash Browns,,0.04675610113888626,0.003339721509920447,2025-08-09,2025-08-22
Chicken Sandwich Combo,,0.04228094981232805,0.0030200678437377177,2025-08-09,2025-08-22
Coffee,,0.03920012183741593,0.0028000087026725665,2025-08-09,2025-08-22
Apple Pie,,0.0,0.0,2025-07-25,2025-08-07
